Date,Description,Amount,Balance
2024-07-15,PD DEBIT 2024-07,-223714.70,276285.30
2024-08-15,PD DEBIT 2024-08,-320504.86,-44219.56
2024-09-15,PD DEBIT 2024-09,-157582.10,-201801.66
2024-10-15,PD DEBIT 2024-10,-186627.96,-388429.62
2024-11-15,PD DEBIT 2024-11,-221622.45,-610052.07
2024-12-15,PD DEBIT 2024-12,-187385.42,-797437.49
2025-01-15,PD DEBIT 2025-01,-258801.58,-1056239.07
2025-02-15,PD DEBIT 2025-02,-160285.82,-1216524.89
2025-03-15,PD DEBIT 2025-03,-199067.52,-1415592.41
2025-04-15,PD DEBIT 2025-04,-279563.83,-1695156.24
2025-05-15,PD DEBIT 2025-05,-175568.82,-1870725.06
2025-06-15,PD DEBIT 2025-06,-277503.69,-2148228.75
2025-07-15,PD DEBIT 2025-07,-251562.01,-2399790.76
2025-08-15,PD DEBIT 2025-08,-295663.83,-2695454.59
2025-09-15,PD DEBIT 2025-09,-234780.92,-2930235.51
2025-10-15,PD DEBIT 2025-10,-422181.05,-3352416.56
2025-11-15,PD DEBIT 2025-11,-330503.47,-3682920.03
2025-12-15,PD DEBIT 2025-12 DOUBLE PAY,-488015.27,-4170935.30
2026-01-15,PD DEBIT 2026-01,-419052.37,-4589987.67
2026-02-15,PD DEBIT 2026-02,-482246.01,-5072233.68
2026-03-15,PD DEBIT 2026-03,-211752.58,-5283986.26
2026-04-15,PD DEBIT 2026-04,-280626.09,-5564612.35
2026-05-15,PD DEBIT 2026-05,-430763.51,-5995375.86
2026-06-15,PD DEBIT 2026-06,-372870.07,-6368245.93
2026-07-10,PD DEBIT 2026-07 MTD,-78383.50,-6446629.43
