Posted Date,Type,Description,Amount,Account,Notes,Balance,Raw Description
2024-05-28T06:00:00+00,withdrawal,PREAUTHORIZED WD FCF ACH PAYMNT 240102 WB77114,-110.16,0625,,4070.39,PREAUTHORIZED WD FCF ACH PAYMNT 240102 WB77114
2024-05-29T06:00:00+00,withdrawal,CHECK,-618.00,0625,,3452.39,CHECK
2024-05-29T06:00:00+00,transfer,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 01-03-24 TIME: 15:28:39,530.59,0625,,3982.98,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 01-03-24 TIME: 15:28:39
2024-05-29T06:00:00+00,deposit,PREAUTHORIZED CREDIT UNIVERSITY HEALT HCCLAIMPMT 80577837*187600052 5\\,71.06,0625,,4054.04,PREAUTHORIZED CREDIT UNIVERSITY HEALT HCCLAIMPMT 80577837*187600052 5\\
2024-05-29T06:00:00+00,deposit,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 23363B1000024383-0 *1870409820*199999 999\\",74.44,0625,,4128.48,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 23363B1000024383-0 *1870409820*199999 999\\"
2024-05-30T06:00:00+00,withdrawal,PREAUTHORIZED WD INTUIT PAYROLL S QUICKBOOKS 240104 465698325,-1281.79,0625,,2846.69,PREAUTHORIZED WD INTUIT PAYROLL S QUICKBOOKS 240104 465698325
2024-05-30T06:00:00+00,deposit,PREAUTHORIZED CREDIT UnitedHealthcare HCCLAIMPMT Q2088575*141128924 5*000087726\\,145.23,0625,,2991.92,PREAUTHORIZED CREDIT UnitedHealthcare HCCLAIMPMT Q2088575*141128924 5*000087726\\
2024-05-31T06:00:00+00,deposit,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24003B1000034174-0 *1870409820*199999 999\\",162.97,0625,,3154.89,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24003B1000034174-0 *1870409820*199999 999\\"
2024-05-31T06:00:00+00,deposit,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24003B1000099662-0 *1870409820*199999 999\\",82.09,0625,,3236.98,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24003B1000099662-0 *1870409820*199999 999\\"
2024-05-31T06:00:00+00,deposit,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24003B1000047356-0 *1870409820*199999 999\\",117.40,0625,,3354.38,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24003B1000047356-0 *1870409820*199999 999\\"
2024-05-31T06:00:00+00,deposit,PREAUTHORIZED CREDIT UNITEDHEALTHCARE HCCLAIMPMT 1TZ67816888*141128 9245*000087726\\,111.75,0625,,3466.13,PREAUTHORIZED CREDIT UNITEDHEALTHCARE HCCLAIMPMT 1TZ67816888*141128 9245*000087726\\
2024-06-03T06:00:00+00,transfer,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 01-08-24 TIME: 11:20:29,934.00,0625,,4400.13,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 01-08-24 TIME: 11:20:29
2024-06-04T06:00:00+00,withdrawal,CHECK,-1107.89,0625,,3292.24,CHECK
2024-06-04T06:00:00+00,transfer,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 01-09-24 TIME: 12:44:26,807.29,0625,,4099.53,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 01-09-24 TIME: 12:44:26
2024-06-04T06:00:00+00,deposit,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24005B1000030266-0 *1870409820*199999 999\\",138.21,0625,,4237.74,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24005B1000030266-0 *1870409820*199999 999\\"
2024-06-05T06:00:00+00,withdrawal,CHECK,-169.26,0625,,4068.48,CHECK
2024-06-05T06:00:00+00,withdrawal,PREAUTHORIZED WD AMAZON MARKETPLA INTERNET 240110,-118.84,0625,,3949.64,PREAUTHORIZED WD AMAZON MARKETPLA INTERNET 240110
2024-06-06T06:00:00+00,withdrawal,CHECK,-587.88,0625,,3361.76,CHECK
2024-06-07T06:00:00+00,withdrawal,CHECK,-580.68,0625,,2781.08,CHECK
2024-06-07T06:00:00+00,withdrawal,PREAUTHORIZED WD COMCAST CABLE 240112,-218.25,0625,,2562.83,PREAUTHORIZED WD COMCAST CABLE 240112
2024-06-07T06:00:00+00,deposit,PREAUTHORIZED CREDIT UNITEDHEALTHCARE HCCLAIMPMT 1TZ68432290*141128 9245*000087726\\,105.34,0625,,2668.17,PREAUTHORIZED CREDIT UNITEDHEALTHCARE HCCLAIMPMT 1TZ68432290*141128 9245*000087726\\
2024-06-07T06:00:00+00,deposit,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24010B1000065577-0 *1870409820*199999 999\\",149.60,0625,,2817.77,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24010B1000065577-0 *1870409820*199999 999\\"
2024-06-07T06:00:00+00,deposit,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24010B1000130234-0 *1870409820*199999 999\\",66.08,0625,,2883.85,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24010B1000130234-0 *1870409820*199999 999\\"
2024-06-11T06:00:00+00,transfer,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 01-15-24 TIME: 16:54:04,1220.46,0625,,4104.31,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 01-15-24 TIME: 16:54:04
2024-06-12T06:00:00+00,withdrawal,CHECK,-396.14,0625,,3708.17,CHECK
2024-06-12T06:00:00+00,deposit,PREAUTHORIZED CREDIT SH-FEDERAL EMPLO HCCLAIMPMT 24012B1000020999-0 *1870409820*199999 999\\,222.54,0625,,3930.71,PREAUTHORIZED CREDIT SH-FEDERAL EMPLO HCCLAIMPMT 24012B1000020999-0 *1870409820*199999 999\\
2024-06-12T06:00:00+00,deposit,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24012B1000091670-0 *1870409820*199999 999\\",108.50,0625,,4039.21,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24012B1000091670-0 *1870409820*199999 999\\"
2024-06-13T06:00:00+00,withdrawal,PREAUTHORIZED WD INTUIT PAYROLL S QUICKBOOKS 240118 465698325,-1057.43,0625,,2981.78,PREAUTHORIZED WD INTUIT PAYROLL S QUICKBOOKS 240118 465698325
2024-06-13T06:00:00+00,withdrawal,PREAUTHORIZED WD ADVANCEDMD SOFTW DEBIT 240118,-516.66,0625,,2465.12,PREAUTHORIZED WD ADVANCEDMD SOFTW DEBIT 240118
2024-06-13T06:00:00+00,transfer,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 01-18-24 TIME: 07:39:10,1435.65,0625,,3900.77,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 01-18-24 TIME: 07:39:10
2024-06-14T06:00:00+00,withdrawal,CHECK,-594.56,0625,,3306.21,CHECK
2024-06-14T06:00:00+00,withdrawal,CHECK,-217.85,0625,,3088.36,CHECK
2024-06-14T06:00:00+00,withdrawal,PREAUTHORIZED WD WEBTIMECLOCK.COM WEBTIMECLK 240119,-5.00,0625,,3083.36,PREAUTHORIZED WD WEBTIMECLOCK.COM WEBTIMECLK 240119
2024-06-14T06:00:00+00,deposit,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24017B1000130916-0 *1870409820*199999 999\\",112.05,0625,,3195.41,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24017B1000130916-0 *1870409820*199999 999\\"
2024-06-18T06:00:00+00,transfer,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 01-23-24 TIME: 12:17:48,595.62,0625,,3791.03,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 01-23-24 TIME: 12:17:48
2024-06-18T06:00:00+00,deposit,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24019B1000028537-0 *1870409820*199999 999\\",174.82,0625,,3965.85,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24019B1000028537-0 *1870409820*199999 999\\"
2024-06-18T06:00:00+00,deposit,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24019B1000067296-0 *1870409820*199999 999\\",332.13,0625,,4297.98,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24019B1000067296-0 *1870409820*199999 999\\"
2024-06-19T06:00:00+00,withdrawal,CHECK,-382.45,0625,,3915.53,CHECK
2024-06-20T06:00:00+00,withdrawal,CHECK,-170.41,0625,,3745.12,CHECK
2024-06-20T06:00:00+00,transfer,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 01-25-24 TIME: 17:46:35,402.85,0625,,4147.97,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 01-25-24 TIME: 17:46:35
2024-06-21T06:00:00+00,deposit,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24024B1000140559-0 *1870409820*199999 999\\",203.26,0625,,4351.23,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24024B1000140559-0 *1870409820*199999 999\\"
2024-06-21T06:00:00+00,deposit,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24024B1000064327-0 *1870409820*199999 999\\",210.43,0625,,4561.66,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24024B1000064327-0 *1870409820*199999 999\\"
2024-06-24T06:00:00+00,withdrawal,PREAUTHORIZED WD WORKFORCE SERVIC UTAH UITAX 240129 1985961,-63.85,0625,,4497.81,PREAUTHORIZED WD WORKFORCE SERVIC UTAH UITAX 240129 1985961
2024-06-24T06:00:00+00,transfer,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 01-29-24 TIME: 20:49:21,46.53,0625,,4544.34,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 01-29-24 TIME: 20:49:21
