Posted Date,Type,Description,Amount,Account,Notes,Balance,Raw Description
2024-05-28T06:00:00+00,transfer,Transfer from Checking 0625 (reserve funding),25000.00,0871,,25000.00,ONLINE TRANSFER FROM CHK 0625 REF#OT2405280 RESERVE FUNDING
2024-06-03T06:00:00+00,transfer,Transfer from Checking 0625 (monthly sweep),4165.90,0871,,29165.90,ONLINE TRANSFER FROM CHK 0625 REF#OT2406031 MONTHLY SWEEP
2024-06-17T06:00:00+00,deposit,Interest paid,8.71,0871,,29174.61,INTEREST PAYMENT ANNUAL PERCENTAGE YIELD EARNED
2024-06-28T06:00:00+00,fee,Account maintenance fee,-12.00,0871,,29162.61,SERVICE CHARGE QUARTERLY BUSINESS SAVINGS
2024-07-03T06:00:00+00,transfer,Transfer from Checking 0625 (monthly sweep),4472.43,0871,,33635.04,ONLINE TRANSFER FROM CHK 0625 REF#OT2407031 MONTHLY SWEEP
2024-07-15T06:00:00+00,deposit,Interest paid,9.23,0871,,33644.27,INTEREST PAYMENT ANNUAL PERCENTAGE YIELD EARNED
2024-07-16T06:00:00+00,withdrawal,IRS USATAXPYMT estimated tax,-8015.66,0871,,25628.61,IRS       USATAXPYMT 275419980 FFM MEDICAL PLLC
2024-08-05T06:00:00+00,transfer,Transfer from Checking 0625 (monthly sweep),4440.56,0871,,30069.17,ONLINE TRANSFER FROM CHK 0625 REF#OT2408051 MONTHLY SWEEP
2024-08-15T06:00:00+00,deposit,Interest paid,7.41,0871,,30076.58,INTEREST PAYMENT ANNUAL PERCENTAGE YIELD EARNED
2024-09-03T06:00:00+00,transfer,Transfer from Checking 0625 (monthly sweep),4503.40,0871,,34579.98,ONLINE TRANSFER FROM CHK 0625 REF#OT2409031 MONTHLY SWEEP
2024-09-10T06:00:00+00,withdrawal,Medical malpractice premium,-6304.19,0871,,28275.79,MEDPRO GROUP    INS PREM 8841027 FFM MEDICAL PLLC
2024-09-16T06:00:00+00,deposit,Interest paid,8.46,0871,,28284.25,INTEREST PAYMENT ANNUAL PERCENTAGE YIELD EARNED
2024-09-27T06:00:00+00,fee,Account maintenance fee,-12.00,0871,,28272.25,SERVICE CHARGE QUARTERLY BUSINESS SAVINGS
2024-10-03T06:00:00+00,transfer,Transfer from Checking 0625 (monthly sweep),4603.19,0871,,32875.44,ONLINE TRANSFER FROM CHK 0625 REF#OT2410031 MONTHLY SWEEP
2024-10-15T06:00:00+00,deposit,Interest paid,8.82,0871,,32884.26,INTEREST PAYMENT ANNUAL PERCENTAGE YIELD EARNED
2024-10-16T06:00:00+00,withdrawal,IRS USATAXPYMT estimated tax,-9788.88,0871,,23095.38,IRS       USATAXPYMT 279625285 FFM MEDICAL PLLC
2024-11-04T06:00:00+00,transfer,Transfer from Checking 0625 (monthly sweep),4443.21,0871,,27538.59,ONLINE TRANSFER FROM CHK 0625 REF#OT2411041 MONTHLY SWEEP
2024-11-12T06:00:00+00,withdrawal,Ultrasound probe replacement,-8450.00,0871,,19088.59,MEDLINE INDUSTRIES INV 4471902 EQUIPMENT
