Posted Date,Type,Description,Amount,Account,Notes,Balance,Raw Description
2024-05-28T06:00:00+00,withdrawal,PREAUTHORIZED WD FCF ACH PAYMNT 240102 WB77114,-110.16,0625-b,,4070.39,PREAUTHORIZED WD FCF ACH PAYMNT 240102 WB77114
2024-05-29T06:00:00+00,withdrawal,CHECK,-618.00,0625-b,,3452.39,CHECK
2024-05-29T06:00:00+00,transfer,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 01-03-24 TIME: 15:28:39,530.59,0625-b,,3982.98,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 01-03-24 TIME: 15:28:39
2024-05-29T06:00:00+00,deposit,PREAUTHORIZED CREDIT UNIVERSITY HEALT HCCLAIMPMT 80577837*187600052 5\\,202.52,0625-b,,4185.50,PREAUTHORIZED CREDIT UNIVERSITY HEALT HCCLAIMPMT 80577837*187600052 5\\
2024-05-29T06:00:00+00,deposit,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 23363B1000024383-0 *1870409820*199999 999\\",212.15,0625-b,,4397.65,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 23363B1000024383-0 *1870409820*199999 999\\"
2024-05-30T06:00:00+00,withdrawal,PREAUTHORIZED WD INTUIT PAYROLL S QUICKBOOKS 240104 465698325,-1281.79,0625-b,,3115.86,PREAUTHORIZED WD INTUIT PAYROLL S QUICKBOOKS 240104 465698325
2024-05-30T06:00:00+00,deposit,PREAUTHORIZED CREDIT UnitedHealthcare HCCLAIMPMT Q2088575*141128924 5*000087726\\,413.91,0625-b,,3529.77,PREAUTHORIZED CREDIT UnitedHealthcare HCCLAIMPMT Q2088575*141128924 5*000087726\\
2024-05-31T06:00:00+00,deposit,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24003B1000034174-0 *1870409820*199999 999\\",464.46,0625-b,,3994.23,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24003B1000034174-0 *1870409820*199999 999\\"
2024-05-31T06:00:00+00,deposit,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24003B1000099662-0 *1870409820*199999 999\\",233.96,0625-b,,4228.19,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24003B1000099662-0 *1870409820*199999 999\\"
2024-05-31T06:00:00+00,deposit,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24003B1000047356-0 *1870409820*199999 999\\",334.59,0625-b,,4562.78,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24003B1000047356-0 *1870409820*199999 999\\"
2024-05-31T06:00:00+00,deposit,PREAUTHORIZED CREDIT UNITEDHEALTHCARE HCCLAIMPMT 1TZ67816888*141128 9245*000087726\\,318.49,0625-b,,4881.27,PREAUTHORIZED CREDIT UNITEDHEALTHCARE HCCLAIMPMT 1TZ67816888*141128 9245*000087726\\
2024-06-03T06:00:00+00,transfer,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 01-08-24 TIME: 11:20:29,934.00,0625-b,,5815.27,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 01-08-24 TIME: 11:20:29
2024-06-04T06:00:00+00,withdrawal,CHECK,-1107.89,0625-b,,4707.38,CHECK
